temperature,reactant_0,reactant_1,reactant_2,reactant_3,solvent_0,catalyst_0,product_0,product_1,reactant_4,reactant_5,reactant_6,reactant_7
289.4983316870351,COC=1N=NC(=CC1B(O)O)OC,BrC1=C2C=NNC2=CC(=C1)C(F)(F)F,C(=O)(O)[O-].[Na+],,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,COC=1N=NC(=CC1C1=C2C=NNC2=CC(=C1)C(F)(F)F)OC,,,,
255.20285983133013,COC1=CC=C(C(=N1)C)B(O)O,BrC1=C2C=NNC2=CC(=C1)C(F)(F)F,C(=O)(O)[O-].[Na+],,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,COC1=CC=C(C(=N1)C)C1=C2C=NNC2=CC(=C1)C(F)(F)F,,,,
339.22870533803746,BrC=1C(=NC=CC1N)C,CC1(OB(OC1(C)C)C1=C2C=NNC2=CC(=C1)C(F)(F)F)C,C(=O)(O)[O-].[Na+],,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,CC1=NC=CC(=C1C1=C2C=NNC2=CC(=C1)C(F)(F)F)N,,,,
307.7338158199809,CC1(OB(OC1(C)C)C1=C2C=NNC2=CC(=C1)C(F)(F)F)C,C([O-])([O-])=O.[Na+].[Na+],IC=1C=CC(=NC1C)N,,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,CC1=C(C=CC(=N1)N)C1=C2C=NNC2=CC(=C1)C(F)(F)F,,,,
288.5866878896733,BrC=1C(=NC(=NC1)OC)N,CC1(OB(OC1(C)C)C1=C2C=NNC2=CC(=C1)C(F)(F)F)C,O1CCOCC1,,C(=O)(O)[O-].[Na+],C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,COC1=NC=C(C(=N1)N)C1=C2C=NNC2=CC(=C1)C(F)(F)F,,,,
336.3143793709904,CC1(OB(OC1(C)C)C=1C=NN(C1)CC(=O)OCC)C,BrC1=C2C=NNC2=CC(=C1)C(F)(F)F,C(=O)(O)[O-].[Na+],,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,FC(C1=CC(=C2C=NNC2=C1)C=1C=NN(C1)CC(=O)OCC)(F)F,,,,
246.9955134688678,C(=O)(O)[O-].[Na+],CC1(OB(OC1(C)C)C1=C2C=NNC2=CC(=C1)C(F)(F)F)C,BrC=1C=CC(=NC1)C(=O)N1CCOCC1,,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,O1CCN(CC1)C(=O)C1=NC=C(C=C1)C1=C2C=NNC2=CC(=C1)C(F)(F)F,,,,
269.2388752624321,BrC1=C2C=NNC2=CC(=C1)C(F)(F)F,COC(=O)C1=CC=C(C=N1)B(O)O,C(=O)(O)[O-].[Na+],,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],FC(C1=CC(=C2C=NNC2=C1)C=1C=CC(=NC1)C(=O)OC)(F)F,C(=O)(C(F)(F)F)O,,,,
291.142046131196,BrC1=C(C=C(C=C1)S(=O)(=O)N)F,C([O-])(O)=O.[Na+],CC1(OB(OC1(C)C)C1=C2C=NNC2=CC(=C1)C(F)(F)F)C,,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],FC=1C=C(C=CC1C1=C2C=NNC2=CC(=C1)C(F)(F)F)S(=O)(=O)N,C(=O)(C(F)(F)F)O,,,,
327.32038966477995,C([O-])(O)=O.[Na+],CC1(OB(OC1(C)C)C1=C2C=NNC2=CC(=C1)C(F)(F)F)C,BrC=1C=CC(=NC1)S(=O)(=O)N,,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,FC(C1=CC(=C2C=NNC2=C1)C=1C=CC(=NC1)S(=O)(=O)N)(F)F,,,,
328.49565992340314,C([O-])(O)=O.[Na+],CC1(OB(OC1(C)C)C1=C2C=NNC2=CC(=C1)C(F)(F)F)C,BrC=1C(=NN(C1C)CC(=O)NC(C)C)C,,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,CC1=NN(C(=C1C1=C2C=NNC2=CC(=C1)C(F)(F)F)C)CC(=O)NC(C)C,,,,
260.7103512163825,C([O-])(O)=O.[Na+],CC1(OB(OC1(C)C)C1=C2C=NNC2=CC(=C1)C(F)(F)F)C,BrC=1C(=NN(C1C)C[C@@H]1CCC(N1)=O)C,,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],CC1=NN(C(=C1C1=C2C=NNC2=CC(=C1)C(F)(F)F)C)C[C@@H]1CCC(N1)=O,C(=O)(C(F)(F)F)O,,,,
