temperature,reactant_0,reactant_1,reactant_2,reactant_3,solvent_0,catalyst_0,product_0,product_1,product_2,product_3,reagent_0,product_4,product_5,reactant_4,reactant_5,reactant_6,reactant_7
265.1932368909543,C1(=CC=CC=C1)C,OO,CC(=O)CC(C)C,,O,[Ti],C1=CC(=CC=C1O)C,C1=C(C=CC=C1O)C,C1(=CC=CC=C1O)C,,,,,,,,
267.4299813762867,C1(=CC=CC=C1)C,CC(=O)C(C)C,OO,,O,[Ti],C1=CC(=CC=C1O)C,C1=C(C=CC=C1O)C,C1(=CC=CC=C1O)C,,,,,,,,
234.65915192501512,N(=[N+]=[N-])C1C(N(CC(C1)C1=C(C(=CC=C1)F)F)CC(F)(F)F)=O,C(=O)(OC(C)(C)C)OC(=O)OC(C)(C)C,,,CCO,[Pd],C(C)(C)(C)OC(N[C@@H]1C(N(C[C@@H](C1)C1=C(C(=CC=C1)F)F)CC(F)(F)F)=O)=O,C(C)(C)(C)OC(N[C@H]1C(N(C[C@H](C1)C1=C(C(=CC=C1)F)F)CC(F)(F)F)=O)=O,N(CC)CC,,,,,,,,
232.23192559060124,[As],[S-2].[S-2].[S-2].[As+3].[As+3],S(=O)(=O)(OO)O,OOS(=O)(=O)O,O,[Au],S(O)(O)(=O)=O,OO,OOS(=O)(=O)O,,,,,,,,
331.2800515283339,COC(=O)/C(C)=C(/OS(=O)(=O)c1ccc(C)cc1)C1CC1,OB(O)c1cc(OCc2ccccc2)ccc1,,,O,CS(=O)(=O)O[Pd]1(<-P(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC2[Fe]C2C=CC=C2P(C2=CC=CC=C2)C2=CC=CC=C2)<-NC2=C(C=CC=C2)C2=CC=CC=C21,Oc1cccc(OCc2ccccc2)c1,COC(/C(C)=C(C1CC1)/c2cccc(OCc3ccccc3)c2)=O,COC(/C(C)=C(C1CC1)\c2cccc(OCc3ccccc3)c2)=O,c1(COc2cccc(c3cccc(OCc4ccccc4)c3)c2)ccccc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],NC(C=CC=C1)=C1C2=CC=CC=C2C3=CC(OCC4=CC=CC=C4)=CC=C3,C12=CC=CC=C1C3=C(C=CC=C3)N2,,,O=P([O-])([O-])[O-].[K+].[K+].[K+],
254.03947110466382,C(CCC)O,,,,O1CCCC1,[Pd],C1C(CC)O1,C(=C)C1OC1,C(CCC)=O,,,,,,,,
296.7734784650809,C(C1=CC=CC=C1)(=O)O,[N+](=O)([O-])C=1C=C(C=O)C=CC1,N1CCCCC1,[N+](=O)([O-])CC,C1(=CC=CC=C1)C,[Ni],NC=1C=C(C=CC1)CC(C)N,C,N,[N+](=O)([O-])C=1C=C(C=CC1)CC(C)[N+](=O)[O-],,,,,,,
361.06086497489343,CCCCCCCC,C1=CC=CC=C1,CCCCCC,,C1(=CC=CC=C1)C,[Pt],CC(C)CCCCC,C(C)C1=CC=CC=C1,C=CC1=CC=CC=C1,,,,,,,,
313.5141905788524,COC=1C=CC2=C(CCCO2)C1,ClC(Cl)OC,,,C(Cl)Cl,[Ti](Cl)(Cl)(Cl)Cl,COC=1C=C(C2=C(CCCO2)C1)C=O,COC=1C(=CC2=C(CCCO2)C1)C=O,COC1=CC=C2C(CCCO2)=C1C=O,,,,,,,,
300.3615381021785,[Si]([O-])([O-])([O-])[O-].[Na+].[Na+].[Na+].[Na+],O(Cl)Cl.[Zr],[OH-].[Na+],S(O)(O)(=O)=O,O,[O-2].[Ti+4].[O-2],[OH-].[Al+3].[OH-].[OH-],[OH-].[Si+4].[OH-].[OH-].[OH-],[OH-].[Zr+4].[OH-].[OH-].[OH-],,,,,O=[Al-]=O.[Na+],,,
251.76378296235805,C(=O)[O-].[NH4+],C(C1=CC=CC=C1)OC(=O)N1C(CCC1)CC1=CNC2=CC=CC=C12,C(C1=CC=CC=C1)OC(=O)N1C(CCCC1)CC1=CNC2=CC=CC=C12,,C(C)O,[Pd],[OH-].[NH4+],N1C(CCCC1)CC1=CNC2=CC=CC=C12,N1C(CCC1)CC1=CNC2=CC=CC=C12,,,,,,,,
309.7855311099724,C(=O)[O-].[NH4+],C(C1=CC=CC=C1)OC(=O)N1C(CCC1)CC1=CNC2=CC=CC=C12,C(C1=CC=CC=C1)OC(=O)N1C(CCCC1)CC1=CNC2=CC=CC=C12,,C(C)O,[Pd],[OH-].[NH4+],N1C(CCCC1)CC1=CNC2=CC=CC=C12,N1C(CCC1)CC1=CNC2=CC=CC=C12,,,,,,,,
251.15267231320271,C(=O)([O-])[O-].[Na+].[Na+],BrC1=NC(=CC=C1)Br,C1(=CC=CC=C1)B(O)O,,C1(=CC=CC=C1)C,C=1C=CC(=CC1)[P](C=2C=CC=CC2)(C=3C=CC=CC3)[Pd]([P](C=4C=CC=CC4)(C=5C=CC=CC5)C=6C=CC=CC6)([P](C=7C=CC=CC7)(C=8C=CC=CC8)C=9C=CC=CC9)[P](C=1C=CC=CC1)(C=1C=CC=CC1)C=1C=CC=CC1,BrC1=NC(=CC=C1)C1=CC=CC=C1,C1(=CC=CC=C1)C1=NC(=CC=C1)C1=CC=CC=C1,BrC1=NC(=CC=C1)Br,,,,,,,,
145.48281518622588,FC(C(=O)O)(F)F.IC=1SC2=C(N1)C(=CC=C2)OC2=NC=NC(=C2)C2=CC=C(C=C2)C(F)(F)F,[I-].[Cs+],II,FC(C1=CC=C(C=C1)C1=CC(=NC=N1)OC1=CC=CC2=C1N=C(S2)N)(F)F,COCCOC,[Cu]I,FC(C1=CC=C(C=C1)C1=CC(=NC=N1)OC1=CC=CC2=C1N=CS2)(F)F,IC=1SC2=C(N1)C(=CC=C2)OC2=NC=NC(=C2)C2=CC=C(C=C2)C(F)(F)F,C(=O)(C(F)(F)F)O,,,,,FC(C(=O)O)(F)F.FC(C1=CC=C(C=C1)C1=CC(=NC=N1)OC1=CC=CC2=C1N=CS2)(F)F,N(=O)OCCC(C)C,,
180.70060146596057,FC(C(=O)O)(F)F.IC=1SC2=C(N1)C(=CC=C2)OC2=NC=NC(=C2)C2=CC=C(C=C2)C(F)(F)F,[I-].[Cs+],II,FC(C1=CC=C(C=C1)C1=CC(=NC=N1)OC1=CC=CC2=C1N=C(S2)N)(F)F,COCCOC,[Cu]I,FC(C1=CC=C(C=C1)C1=CC(=NC=N1)OC1=CC=CC2=C1N=CS2)(F)F,IC=1SC2=C(N1)C(=CC=C2)OC2=NC=NC(=C2)C2=CC=C(C=C2)C(F)(F)F,C(=O)(C(F)(F)F)O,,,,,FC(C(=O)O)(F)F.FC(C1=CC=C(C=C1)C1=CC(=NC=N1)OC1=CC=CC2=C1N=CS2)(F)F,N(=O)OCCC(C)C,,
275.77694402844736,C1(=CC=CC=C1)C,[OH-].[Na+],C(C(C)=C)Cl,C(C)(=O)C1CC(CCC1)(C)C,O,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],CC1(CC(CCC1)C(C(CC=CC)CC(C)=C)=O)C,C(C)(=O)C1(CC(CCC1)(C)C)CC(C)=C,C(C)(=O)C1CC(CCC1)(C)C,,,,,,,,
229.98206218628982,CC(=O)O[Na],ClC1=NC(=C(C(=N1)Cl)CCC)C,,,CCOC(=O)C,[Pd],ClC1=NC(=C(C=N1)CCC)C,CC1=C(C=NC=N1)CCC,ClC1=NC=NC(=C1CCC)C,,,,,,,,
234.2102025267372,CC(=O)O[Na],ClC1=NC(=C(C(=N1)Cl)CCC)C,,,CCOC(=O)C,[Pd],ClC1=NC(=C(C=N1)CCC)C,CC1=C(C=NC=N1)CCC,ClC1=NC=NC(=C1CCC)C,,,,,,,,
255.1002582666514,IC1=CC(=CC=C1)Br,C(C)(=O)[O-].[Pd+2].C(C)(=O)[O-],C(=O)(O)[O-].[Na+],CN(C)C=O,CCOC(=O)C,[N+](CCCC)(CCCC)(CCCC)CCCC.[Cl-],CC(=O)[O-].CC(=O)[O-].[Pd+2],IC=1C=C(N)C=CC1,C(=O)(O)[O-].[Na+],,,,,,,,
251.33013350007818,C(=O)[O-].[NH4+],C(C1=CC=CC=C1)OC(=O)N1C(CCC1)CC1=CNC2=CC=CC=C12,C(C1=CC=CC=C1)OC(=O)N1C(CCCC1)CC1=CNC2=CC=CC=C12,,C(C)O,[Pd],[OH-].[NH4+],N1C(CCCC1)CC1=CNC2=CC=CC=C12,N1C(CCC1)CC1=CNC2=CC=CC=C12,,,,,,,,
325.37707979570905,C(CC)(=O)O,OO,,,C(CCl)Cl,B(O)(O)O,CCC(=O)OO,OO,C(CC)(=O)O,,,,,,,,
336.02020354624653,C(C1=CC=CC=C1)OC(=O)N1C(CCC1)CC1=CNC2=CC=CC=C12,,,,C(C)O,[Pd],[OH-].[NH4+],C=O,N1C(CCC1)CC1=CNC2=CC=CC=C12,,,,,,,,
319.67278323296483,C(=O)[O-].[NH4+],C(C1=CC=CC=C1)OC(=O)N1C(CCC1)CC1=CNC2=CC=CC=C12,C(C1=CC=CC=C1)OC(=O)N1C(CCCC1)CC1=CNC2=CC=CC=C12,,C(C)O,[Pd],[OH-].[NH4+],N1C(CCCC1)CC1=CNC2=CC=CC=C12,N1C(CCC1)CC1=CNC2=CC=CC=C12,,,,,,,,
355.47400130652244,BrC1=CC=C(OCCOC2=C(C(=NC=N2)NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)C2=CC=C(C=C2)C)C=C1,[F-].[K+],O1CCOCC1,C(C)OC(=C)[Sn](CCCC)(CCCC)CCCC,C(C)(=O)OCC,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl,C(C)(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC1=NC=NC(=C1C1=CC=C(C=C1)C)OCCOC1=CC=C(C=C1)C(=O)OCC,C(C)(=O)C1=CC=C(OCCOC2=C(C(=NC=N2)NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)C2=CC=C(C=C2)C)C=C1,C(C)(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC1=NC=NC(=C1C1=CC=C(C=C1)C)OCCOC1=CC=CC=C1,,,,,,,,
298.9345756994148,O=O,C(C)(C)C1=CC=CC=C1,C(C)(=O)ON1C(C=2C(C1=O)=CC=CC2)=O,,C(C)(=O)O,O.O.O.O.C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-],C(C1=CC=CC=C1)(=O)O,C(C)(=O)C1=CC=CC=C1,C1(=CC=CC=C1)C(C)(C)O,,,,,,,,
315.857101510557,O=O,C(C)(C)C1=CC=CC=C1,C(C)(=O)ON1C(C=2C(C1=O)=CC=CC2)=O,,C(C)(=O)O,O.O.O.O.C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-],C(C1=CC=CC=C1)(=O)O,C(C)(=O)C1=CC=CC=C1,C1(=CC=CC=C1)C(C)(C)O,,,,,,,,
238.28640407879487,BrC[C@@H](OC1OCCCC1)C,O1CCCC=C1,BrC[C@H](C)O,,C(C)(=O)O,C1(=CC=C(C=C1)S(=O)(=O)O)C,Br,C1[C@H](C)O1,BrC[C@H](C)O,,,,,,,,
300.4582895779216,O=C(CC(C(=O)OC)C(=O)OC)CCCCCC,C(CC(=O)OC)(=O)OC,O=O,C=CCCCCCC,C(C)(=O)O,C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-],C(CCCCCCC)C(C(=O)OC)C(=O)OC,COC(=O)C1C(=O)OC(C1)CCCCCC,C(CCCCCCC)C(CC(C(=O)OC)C(=O)OC)CCCCCC,,,,,,,,
303.8271152627222,C(=O)([O-])[O-].[Na+].[Na+],BrC1=NC(=CC=C1)Br,C1(=CC=CC=C1)B(O)O,,C1(=CC=CC=C1)C,C=1C=CC(=CC1)[P](C=2C=CC=CC2)(C=3C=CC=CC3)[Pd]([P](C=4C=CC=CC4)(C=5C=CC=CC5)C=6C=CC=CC6)([P](C=7C=CC=CC7)(C=8C=CC=CC8)C=9C=CC=CC9)[P](C=1C=CC=CC1)(C=1C=CC=CC1)C=1C=CC=CC1,BrC1=NC(=CC=C1)C1=CC=CC=C1,C1(=CC=CC=C1)C1=NC(=CC=C1)C1=CC=CC=C1,BrC1=NC(=CC=C1)Br,,,,,,,,
349.9962550884227,BrC[C@@H](OC1OCCCC1)C,O1CCCC=C1,BrC[C@H](C)O,,C(C)(=O)O,C1(=CC=C(C=C1)S(=O)(=O)O)C,Br,C1[C@H](C)O1,BrC[C@H](C)O,,,,,,,,
300.2179765304524,COC=1C=CC2=C(CCCO2)C1,ClC(Cl)OC,,,C(Cl)Cl,[Ti](Cl)(Cl)(Cl)Cl,COC=1C=C(C2=C(CCCO2)C1)C=O,COC=1C(=CC2=C(CCCO2)C1)C=O,COC1=CC=C2C(CCCO2)=C1C=O,,,,,,,,
238.3783639983498,C(=O)[O-].[NH4+],C(C1=CC=CC=C1)N1[C@H](CN(CC1)CC1=CC=CC=C1)CCC1=CC=CC2=CC=CC=C12,,,C(C)O,[Pd],C(C1=CC=CC=C1)N1[C@H](CNCC1)CCC1=CC=CC2=CC=CC=C12,C(C1=CC=CC=C1)N1C[C@@H](NCC1)CCC1=CC=CC2=CC=CC=C12,C1(=CC=CC2=CC=CC=C12)CC[C@@H]1NCCNC1,,,,,,,,
273.11283022735074,ON1C(C=2C(C1=O)=CC=CC2)=O,O=O,C(=O)(C)C(=O)C,C1CCC[C@@H]2CCCC[C@H]12,C(C)(=O)O,C(C)(=O)[O-].[Co+2].C(C)(=O)[O-],C(C)(=O)[C@@]12CCCC[C@H]2CCCC1,O[C@@]12CCCC[C@H]2CCCC1,O[C@@]12CCCC[C@]2(CCCC1)O,C1(CCCCC(CCCC1)=O)=O,,,,,,,
266.3544870021807,N12[Si]34N5[Si]16N3[Si]25N46,[C-]#[Si+],,,C(C)O,[O-2].[Y+3].[O-2].[O-2].[Y+3],N12[Si]34N5[Si]16N3[Si]25N46,C,[C-]#[Si+],,,,,,,,
365.21146031150744,C(CC)O,C(C)(=O)OCC,C(C)O,CO,C(CCC)O,[CH-]=O.[CH-]=O.[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Co].[Co+2],C,C(C)(=O)OC,C(=O)OC,C(C)(=O)OCCC,,,,,,,
227.94618663956868,N(=[N+]=[N-])C1C(N(CC(C1)C1=C(C(=CC=C1)F)F)CC(F)(F)F)=O,C(=O)(OC(C)(C)C)OC(=O)OC(C)(C)C,,,CCO,[Pd],C(C)(C)(C)OC(N[C@@H]1C(N(C[C@@H](C1)C1=C(C(=CC=C1)F)F)CC(F)(F)F)=O)=O,C(C)(C)(C)OC(N[C@H]1C(N(C[C@H](C1)C1=C(C(=CC=C1)F)F)CC(F)(F)F)=O)=O,N(CC)CC,,,,,,,,
244.97244609268324,C=CCC,C(C)(C)O,C(CCCCCCC\C=C/CCCCCCCC)(=O)OC,,OCP(CO)CO,Cl[Ru](Cl)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)([P](C4CCCCC4)(C5CCCCC5)C6CCCCC6)=CC7=CC=CC=C7,CCC=CCCCCCCCC,COC(CCCCCCCC=CCC)=O,COC(CCCCCCCC=C)=O,C=CCCCCCCCC,,,,,,,
341.0163690408475,N(=[N+]=[N-])C1C(N(CC(C1)C1=C(C(=CC=C1)F)F)CC(F)(F)F)=O,C(=O)(OC(C)(C)C)OC(=O)OC(C)(C)C,,,CCO,[Pd],FC1=C(C=CC=C1F)[C@H]1C[C@H](C(N(C1)CC(F)(F)F)=O)NC(OC(C)(C)C)=O,N(CC)CC,FC1=C(C=CC=C1F)[C@@H]1C[C@@H](C(N(C1)CC(F)(F)F)=O)NC(OC(C)(C)C)=O,,,,,,,,
304.0221524924792,C=CCC,C(C)(C)O,C(CCCCCCC\C=C/CCCCCCCC)(=O)OC,,OCP(CO)CO,Cl[Ru](Cl)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)([P](C4CCCCC4)(C5CCCCC5)C6CCCCC6)=CC7=CC=CC=C7,CCC=CCCCCCCCC,COC(CCCCCCCC=CCC)=O,COC(CCCCCCCC=C)=O,C=CCCCCCCCC,,,,,,,
263.3491711278278,ClC1=C(C=C(C(=C1)OC)OCC1=C(C=CC=C1OC)F)N1C2=NC(=NC(=C2NC1=O)OC)CCl,N(=[N+]=[N-])CC1=NC(=C2NC(N(C2=N1)C1=C(C=C(C(=C1)OCC1=C(C=CC=C1OC)F)OC)Cl)=O)OC,,,O1CCCC1,[Pt].[C],NCC1=NC(=C2NC(N(C2=N1)C1=C(C=C(C(=C1)OCC1=C(C=CC=C1OC)F)OC)Cl)=O)OC,ClC1=C(C=C(C(=C1)OC)OCC1=C(C=CC=C1OC)F)N1C2=NC(=NC(=C2NC1=O)OC)CCl,N(=[N+]=[N-])CC1=NC(=C2NC(N(C2=N1)C1=C(C=C(C(=C1)OCC1=C(C=CC=C1OC)F)OC)Cl)=O)OC,,,,,,,,
240.19101482242766,[Sn](Cl)(Cl)(Cl)Cl,[OH-].[Na+],[Cl-].[In+3].[Cl-].[Cl-],,O,[N+](=O)([O-])[O-].[Fe+2].[N+](=O)([O-])[O-],[OH-],[Sn](Cl)(Cl)(Cl)Cl,[Cl-].[In+3].[Cl-].[Cl-],,,,,,,,
234.19135839871808,Cl.NCCCC1=CC=C(C=C1)NC1=C2C(=NC=N1)NN=C2NC2=CC=CC=C2,,,,C(C)O,[Ni],Cl,C(#N)CCC1=CC=C(C=C1)NC1=C2C(=NC=N1)NN=C2NC2=CC=CC=C2,N,,,,,,,,
235.42033398241176,C1(=CC=CC=C1)C,[OH-].[Na+],C(C(C)=C)Cl,C(C)(=O)C1CC(CCC1)(C)C,O,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],CC1(CC(CCC1)C(C(CC=CC)CC(C)=C)=O)C,C(C)(=O)C1(CC(CCC1)(C)C)CC(C)=C,C(C)(=O)C1CC(CCC1)(C)C,,,,,,,,
234.64877098283685,C(CC)O,C(C)(=O)OCC,C(C)O,CO,C(CCC)O,[CH-]=O.[CH-]=O.[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Co].[Co+2],C,C(C)(=O)OC,C(=O)OC,C(C)(=O)OCCC,,,,,,,
228.6359457457769,[Sn](Cl)(Cl)(Cl)Cl,[OH-].[Na+],NCCO,[Cl-].[In+3].[Cl-].[Cl-],O,[N+](=O)([O-])[O-].[Fe+2].[N+](=O)([O-])[O-],[OH-],[Sn](Cl)(Cl)(Cl)Cl,[Cl-].[In+3].[Cl-].[Cl-],,,,,,,,
339.8774813490757,[H][H],NCCNCCNCCN,ClC=1C=C(C=CC1Cl)[N+](=O)[O-],,CO,[Pt],NC1=CC=CC=C1,ClC1=CC=C(N)C=C1,ClC=1C=C(N)C=CC1Cl,,,,,,,,
320.0192792890166,CC1=CC(=NC=C1)NC1=NC(=CC=C1)C1=CN=CO1,IC=1C=C(CN2CCCC2)C=CC1,Cl.CC1=CC(=NC=C1)NC1=NC(=CC=C1)C1=CN=C(O1)C1=CC(=CC=C1)CN1CCCC1,O([Li])C(C)(C)C,O1CCOCC1,C=1C=CC(=CC1)[P](C=2C=CC=CC2)(C=3C=CC=CC3)[Pd]([P](C=4C=CC=CC4)(C=5C=CC=CC5)C=6C=CC=CC6)([P](C=7C=CC=CC7)(C=8C=CC=CC8)C=9C=CC=CC9)[P](C=1C=CC=CC1)(C=1C=CC=CC1)C=1C=CC=CC1,Cl,IC=1C=C(CN2CCOCC2)C=CC1,Cl.CC1=CC(=NC=C1)NC1=NC(=CC=C1)C1=CN=C(O1)C1=CC(=CC=C1)CN1CCOCC1,,,,,IC=1C=C(CN2CCOCC2)C=CC1,CC1=CC(=NC=C1)NC1=NC(=CC=C1)C1=CN=C(O1)C1=CC(=CC=C1)CN1CCOCC1,,
317.45925348011724,C(=O)[O-].[NH4+],C(C1=CC=CC=C1)OC(=O)N1C(CCC1)CC1=CNC2=CC=CC=C12,C(C1=CC=CC=C1)OC(=O)N1C(CCCC1)CC1=CNC2=CC=CC=C12,,C(C)O,[Pd],[OH-].[NH4+],N1C(CCCC1)CC1=CNC2=CC=CC=C12,N1C(CCC1)CC1=CNC2=CC=CC=C12,,,,,,,,
288.76819728165776,C(C1=CC=C(C(=O)O)C=C1)(=O)O,C(C)P(OCCO)(=O)CCCO,P(=O)([O-])([O-])[O-].[Na+].[Na+].[Na+],[Sb+]=O,C(CO)O,C(C)(=O)[O-].[Zn+2].C(C)(=O)[O-],C(C1=CC=C(C(=O)O)C=C1)(=O)O,C(C)P(OCCO)(=O)CCCO,[P],,,,,,,,
294.00300357704344,[H][H],ClC1=CC2=C(N3C(=NN=C3CN(C2)C)C2CC=C(CC2)C2=C(C=CC=C2)C)C=C1,,,C(C)(=O)O,[Pt](=O)=O,CN1CC2=C(N3C(=NN=C3C1)[C@@H]1CC[C@@H](CC1)C1=C(C=CC=C1)C)C=CC=C2,ClC1=CC2=C(N3C(=NN=C3CN(C2)C)[C@@H]2CC[C@H](CC2)C2=C(C=CC=C2)C)C=C1,ClC1=CC2=C(N3C(=NN=C3CN(C2)C)[C@@H]2CC[C@@H](CC2)C2=C(C=CC=C2)C)C=C1,,,,,,,,
266.90289560990067,C(C)(=O)[O-].[K+],C(C)(=O)OC(C=C)(CCC(C(=C)C)Cl)C,O,,CN(C(C)=O)C,O.C(C)(=O)[O-].[Cu+2].C(C)(=O)[O-],C(C)(=O)OC(C=C)(CC\C=C(/COC(C)=O)\C)C,C(C)(=O)OC(C=C)(CC\C=C(\COC(C)=O)/C)C,C(C)(=O)OC(C=C)(CCC(C(=C)C)OC(C)=O)C,,,,,,,,
243.73877862483317,C=CCC,C(C)(C)O,C(CCCCCCC\C=C/CCCCCCCC)(=O)OC,,OCP(CO)CO,Cl[Ru](Cl)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)([P](C4CCCCC4)(C5CCCCC5)C6CCCCC6)=CC7=CC=CC=C7,CCC=CCCCCCCCC,COC(CCCCCCCC=CCC)=O,COC(CCCCCCCC=C)=O,C=CCCCCCCCC,,,,,,,
236.53561887910203,FC(C(=O)O)(F)F.IC=1SC2=C(N1)C(=CC=C2)OC2=NC=NC(=C2)C2=CC=C(C=C2)C(F)(F)F,[I-].[Cs+],II,FC(C1=CC=C(C=C1)C1=CC(=NC=N1)OC1=CC=CC2=C1N=C(S2)N)(F)F,COCCOC,[Cu]I,FC(C1=CC=C(C=C1)C1=CC(=NC=N1)OC1=CC=CC2=C1N=CS2)(F)F,IC=1SC2=C(N1)C(=CC=C2)OC2=NC=NC(=C2)C2=CC=C(C=C2)C(F)(F)F,C(=O)(C(F)(F)F)O,,,,,FC(C(=O)O)(F)F.FC(C1=CC=C(C=C1)C1=CC(=NC=N1)OC1=CC=CC2=C1N=CS2)(F)F,N(=O)OCCC(C)C,,
246.3944112138294,OC1=CC=C(C=C1)C1=CCC(CC1)O,CC(=C)C1=CC=CC=C1,,,C(C)C(CO)CCCC,[C].[Pd],C(C)C(CO)CCCC,C1(=CC=CC=C1)C(C)C,CC(=C)C1=CC=CC=C1,,,,,,,,
